branchId,departmentId,serviceType,sameDepartmentPeopleAhead,dayOfWeek,hourOfDay,actualWaitMinutes
651b2c3f,deptC,walk-in,11,5,9,53.53
651b2c3e,deptA,walk-in,8,1,13,124.74
651b2c3f,deptA,kiosk,11,6,9,79.49
651b2c3d,deptA,kiosk,18,6,18,242.65
651b2c3f,deptB,walk-in,6,5,15,119.94
651b2c3f,deptB,walk-in,2,1,16,50.78
651b2c3e,deptA,walk-in,14,5,13,279.71
651b2c3f,deptC,online,9,0,20,69.52
651b2c3f,deptC,kiosk,4,0,13,51.10
651b2c3f,deptC,online,5,1,8,34.33
651b2c3f,deptA,online,9,4,20,60.39
651b2c3d,deptA,kiosk,17,3,12,221.74
651b2c3d,deptB,kiosk,7,2,8,145.93
651b2c3f,deptC,online,12,0,16,85.28
651b2c3e,deptC,walk-in,11,3,9,87.36
651b2c3f,deptA,kiosk,9,5,8,106.24
651b2c3f,deptA,online,19,3,18,189.57
651b2c3f,deptC,kiosk,2,5,20,20.92
651b2c3f,deptC,kiosk,5,2,15,35.20
651b2c3d,deptA,kiosk,12,1,20,158.70
651b2c3e,deptA,online,13,1,13,151.71
651b2c3d,deptB,online,8,5,15,106.39
651b2c3e,deptC,kiosk,6,1,13,95.58
651b2c3d,deptC,walk-in,21,4,11,288.19
651b2c3f,deptC,online,4,2,20,28.15
651b2c3d,deptA,kiosk,1,6,15,18.85
651b2c3e,deptC,kiosk,3,0,17,55.15
651b2c3e,deptC,online,6,5,20,58.82
651b2c3d,deptB,walk-in,11,2,8,238.96
651b2c3d,deptC,online,21,0,19,206.79
651b2c3d,deptA,online,15,4,15,136.49
651b2c3d,deptA,kiosk,13,4,15,128.29
651b2c3f,deptC,walk-in,23,1,10,208.86
651b2c3d,deptA,online,2,0,8,34.49
651b2c3f,deptB,online,13,0,14,209.66
651b2c3d,deptB,online,7,2,18,115.77
651b2c3e,deptA,kiosk,8,3,20,119.16
651b2c3d,deptB,kiosk,5,4,8,90.76
651b2c3e,deptB,walk-in,1,6,9,51.23
651b2c3f,deptC,kiosk,19,5,19,174.06
651b2c3d,deptA,online,8,1,14,71.82
651b2c3f,deptB,kiosk,19,3,11,318.49
651b2c3f,deptB,online,1,2,16,21.42
651b2c3d,deptC,kiosk,10,2,17,97.40
651b2c3f,deptB,kiosk,6,5,20,108.56
651b2c3d,deptA,walk-in,2,1,20,32.36
651b2c3e,deptA,kiosk,12,6,12,233.70
651b2c3d,deptB,kiosk,8,4,20,125.39
651b2c3f,deptB,kiosk,11,1,13,153.96
651b2c3e,deptA,walk-in,13,3,18,254.62
651b2c3e,deptA,online,14,0,18,219.52
651b2c3d,deptC,online,22,2,19,173.12
651b2c3d,deptA,walk-in,6,4,8,91.95
651b2c3f,deptC,kiosk,14,0,8,154.60
651b2c3e,deptC,walk-in,2,5,15,32.98
651b2c3f,deptA,online,4,6,20,38.00
651b2c3d,deptB,walk-in,13,2,18,309.58
651b2c3f,deptC,online,12,1,18,79.40
651b2c3d,deptB,online,13,1,13,177.56
651b2c3f,deptC,kiosk,7,0,15,70.45
651b2c3d,deptB,kiosk,12,3,18,301.96
651b2c3d,deptA,kiosk,5,5,20,75.43
651b2c3e,deptB,walk-in,18,1,17,499.28
651b2c3e,deptA,kiosk,15,3,14,207.65
651b2c3e,deptA,walk-in,8,2,12,154.15
651b2c3e,deptB,walk-in,11,3,8,211.90
651b2c3f,deptC,kiosk,14,2,19,84.18
651b2c3f,deptC,walk-in,11,2,13,100.46
651b2c3d,deptA,kiosk,21,6,11,333.26
651b2c3d,deptC,kiosk,2,1,16,21.74
651b2c3e,deptC,walk-in,5,5,9,63.57
651b2c3d,deptA,online,2,6,15,24.51
651b2c3d,deptB,kiosk,20,0,12,495.32
651b2c3e,deptC,walk-in,9,6,20,107.67
651b2c3d,deptA,online,13,6,13,146.61
651b2c3d,deptB,online,20,3,18,282.01
651b2c3f,deptB,kiosk,6,1,13,141.21
651b2c3f,deptA,kiosk,11,4,13,101.34
651b2c3f,deptC,online,7,0,13,59.34
651b2c3e,deptB,online,0,0,20,15.30
651b2c3e,deptA,kiosk,9,6,13,160.09
651b2c3f,deptC,online,3,2,14,23.03
651b2c3d,deptB,walk-in,3,1,15,68.91
651b2c3f,deptB,walk-in,10,2,13,212.33
651b2c3d,deptA,online,9,0,18,74.96
651b2c3e,deptA,kiosk,13,1,15,171.04
651b2c3f,deptA,walk-in,8,2,14,80.92
651b2c3d,deptB,kiosk,12,3,20,178.95
651b2c3f,deptA,walk-in,15,4,13,215.41
651b2c3e,deptC,online,8,1,17,76.61
651b2c3f,deptA,online,14,4,16,101.96
651b2c3d,deptB,walk-in,16,5,10,260.06
651b2c3f,deptB,kiosk,4,6,8,54.58
651b2c3d,deptC,walk-in,23,4,10,245.76
651b2c3f,deptC,kiosk,12,1,10,47.22
651b2c3f,deptC,online,7,0,13,78.00
651b2c3d,deptA,walk-in,9,5,8,123.72
651b2c3f,deptB,online,10,0,15,109.95
651b2c3f,deptA,online,13,2,12,114.66
651b2c3f,deptC,walk-in,16,2,19,147.51
651b2c3e,deptA,online,8,5,14,79.79
651b2c3e,deptB,online,17,5,11,321.07
651b2c3f,deptB,online,7,5,18,126.29
651b2c3f,deptA,kiosk,15,0,20,140.38
651b2c3f,deptA,kiosk,5,1,20,44.24
651b2c3f,deptA,online,20,2,11,192.51
651b2c3e,deptA,walk-in,14,4,8,208.87
651b2c3e,deptC,walk-in,5,1,15,63.05
651b2c3f,deptC,walk-in,20,5,11,144.77
651b2c3f,deptB,kiosk,4,1,15,49.22
651b2c3e,deptB,kiosk,8,5,19,168.02
651b2c3e,deptA,walk-in,3,5,16,41.73
651b2c3f,deptB,online,9,2,15,85.68
651b2c3f,deptC,online,19,3,10,118.07
651b2c3e,deptB,online,14,6,19,338.51
651b2c3d,deptB,kiosk,21,4,12,318.77
651b2c3d,deptB,online,14,6,19,207.96
651b2c3d,deptB,walk-in,17,4,10,347.16
651b2c3f,deptB,kiosk,19,1,19,314.41
651b2c3f,deptA,online,6,5,13,55.18
651b2c3f,deptA,online,12,1,9,82.22
651b2c3e,deptC,kiosk,10,4,20,132.27
651b2c3d,deptA,online,11,3,14,104.90
651b2c3d,deptC,kiosk,20,0,10,211.54
651b2c3e,deptB,walk-in,14,5,17,470.44
651b2c3f,deptB,walk-in,14,2,11,242.90
651b2c3d,deptC,walk-in,2,1,14,34.82
651b2c3e,deptC,walk-in,9,6,19,141.65
651b2c3e,deptB,walk-in,12,4,9,286.68
651b2c3e,deptC,online,1,3,8,10.60
651b2c3e,deptC,online,13,4,14,102.55
651b2c3d,deptA,online,10,5,11,104.70
651b2c3e,deptC,walk-in,15,6,17,286.13
651b2c3e,deptC,walk-in,12,2,19,189.25
651b2c3e,deptC,kiosk,1,1,9,21.83
651b2c3e,deptB,walk-in,10,6,10,252.50
651b2c3f,deptB,walk-in,12,5,8,247.34
651b2c3f,deptA,online,6,1,18,65.83
651b2c3e,deptB,kiosk,13,2,11,306.42
651b2c3e,deptB,kiosk,4,1,16,82.69
651b2c3d,deptA,walk-in,10,5,19,139.53
651b2c3e,deptA,online,10,5,12,129.70
651b2c3e,deptC,walk-in,9,2,10,80.02
651b2c3e,deptB,kiosk,13,0,20,229.38
651b2c3d,deptA,kiosk,9,0,11,146.57
651b2c3e,deptA,kiosk,3,2,16,56.21
651b2c3d,deptA,walk-in,4,2,8,49.67
651b2c3e,deptC,online,1,5,9,15.85
651b2c3e,deptB,online,2,5,13,48.32
651b2c3e,deptA,online,0,5,13,13.48
651b2c3e,deptA,online,8,1,8,92.17
651b2c3e,deptC,walk-in,13,6,10,165.76
651b2c3d,deptB,kiosk,6,1,10,116.03
651b2c3f,deptB,kiosk,3,0,15,60.04
651b2c3f,deptC,kiosk,9,1,13,80.88
651b2c3d,deptB,kiosk,22,3,19,407.02
651b2c3d,deptB,online,8,1,13,143.73
651b2c3e,deptB,online,15,6,20,280.56
651b2c3d,deptC,online,7,2,20,49.24
651b2c3f,deptC,online,0,5,8,4.45
651b2c3f,deptB,kiosk,12,5,13,207.94
651b2c3f,deptA,kiosk,5,0,18,67.80
651b2c3d,deptA,kiosk,2,2,9,26.14
651b2c3f,deptA,online,0,2,15,7.20
651b2c3d,deptA,walk-in,13,0,13,195.26
651b2c3d,deptC,walk-in,15,0,18,226.77
651b2c3f,deptA,walk-in,15,0,14,163.53
651b2c3d,deptB,kiosk,3,3,16,72.75
651b2c3d,deptC,online,20,5,10,123.86
651b2c3d,deptB,walk-in,13,1,13,313.88
651b2c3e,deptB,walk-in,7,5,17,250.76
651b2c3f,deptB,kiosk,4,6,19,106.16
651b2c3f,deptC,online,3,4,8,26.85
651b2c3f,deptC,kiosk,12,4,14,115.65
651b2c3d,deptC,kiosk,6,4,15,61.70
651b2c3e,deptB,kiosk,15,0,12,494.89
651b2c3d,deptA,kiosk,12,1,17,177.22
651b2c3f,deptA,kiosk,13,0,12,139.52
651b2c3e,deptB,walk-in,21,0,10,497.03
651b2c3e,deptB,walk-in,1,5,9,35.22
651b2c3d,deptA,walk-in,15,3,20,173.03
651b2c3f,deptA,online,12,4,15,70.45
651b2c3f,deptA,kiosk,0,2,16,11.13
651b2c3e,deptA,online,11,1,15,94.60
651b2c3d,deptB,walk-in,22,6,11,591.90
651b2c3d,deptA,online,13,0,11,164.17
651b2c3e,deptA,online,5,3,13,80.05
651b2c3e,deptA,walk-in,3,2,14,47.21
651b2c3f,deptC,walk-in,13,3,17,161.90
651b2c3e,deptA,kiosk,19,5,10,322.15
651b2c3e,deptC,kiosk,10,6,19,129.88
651b2c3e,deptB,walk-in,1,3,14,51.88
651b2c3e,deptC,walk-in,16,5,12,187.26
651b2c3e,deptC,walk-in,1,3,20,24.74
651b2c3f,deptC,online,15,3,18,104.52
651b2c3e,deptC,walk-in,16,2,19,254.04
651b2c3e,deptA,walk-in,15,1,11,361.57
651b2c3f,deptB,online,14,3,14,167.99
651b2c3d,deptB,kiosk,16,0,12,353.65
651b2c3d,deptB,walk-in,12,2,18,251.40
651b2c3f,deptC,online,16,6,18,133.94
651b2c3d,deptA,online,10,5,10,85.02
651b2c3f,deptB,online,7,6,15,99.31
651b2c3d,deptA,online,8,5,19,101.09
651b2c3e,deptC,online,15,3,9,129.51
651b2c3f,deptB,walk-in,6,6,20,150.70
651b2c3f,deptA,walk-in,7,6,19,104.20
651b2c3f,deptB,kiosk,18,5,11,317.63
651b2c3e,deptA,kiosk,6,5,16,40.03
651b2c3f,deptA,kiosk,8,3,15,78.99
651b2c3f,deptA,online,13,1,15,96.33
651b2c3d,deptA,walk-in,13,4,10,153.66
651b2c3d,deptA,kiosk,15,1,10,147.33
651b2c3f,deptC,walk-in,13,5,19,128.84
651b2c3f,deptA,online,5,5,15,41.25
651b2c3d,deptB,walk-in,15,3,8,274.53
651b2c3f,deptB,kiosk,0,6,20,15.36
651b2c3f,deptA,online,14,6,11,150.30
651b2c3d,deptC,online,9,5,18,92.11
651b2c3f,deptA,kiosk,15,3,18,165.38
651b2c3e,deptC,online,14,6,9,140.19
651b2c3f,deptB,kiosk,8,4,11,138.73
651b2c3e,deptC,walk-in,7,5,17,127.83
651b2c3f,deptB,kiosk,14,3,15,197.98
651b2c3f,deptA,kiosk,15,6,13,209.84
651b2c3d,deptB,walk-in,12,1,9,198.48
651b2c3e,deptB,kiosk,10,6,17,299.05
651b2c3e,deptA,kiosk,11,1,18,227.15
651b2c3f,deptB,walk-in,8,2,8,130.04
651b2c3f,deptC,online,15,0,13,114.86
651b2c3e,deptC,walk-in,16,2,18,254.53
651b2c3e,deptC,online,3,6,16,33.86
651b2c3f,deptC,kiosk,5,6,13,62.16
651b2c3d,deptA,kiosk,8,5,9,87.90
651b2c3e,deptC,kiosk,12,2,9,110.55
651b2c3e,deptA,walk-in,7,4,19,123.16
651b2c3d,deptB,online,16,2,10,246.00
651b2c3d,deptB,walk-in,20,1,12,493.00
651b2c3e,deptC,walk-in,8,0,20,120.46
651b2c3e,deptA,kiosk,11,2,14,143.51
651b2c3f,deptA,online,8,2,20,50.14
651b2c3e,deptA,online,2,2,14,33.65
651b2c3f,deptC,kiosk,9,0,17,113.01
651b2c3f,deptC,walk-in,19,1,10,160.31
651b2c3e,deptA,walk-in,22,5,10,295.19
651b2c3d,deptC,online,16,1,12,117.11
651b2c3f,deptB,kiosk,13,2,8,192.40
651b2c3e,deptB,kiosk,12,2,20,276.04
651b2c3d,deptC,walk-in,10,0,17,151.71
651b2c3f,deptC,walk-in,13,3,19,172.75
